customer_id,interaction_id,date,summary,interaction_type,status
C001,INT001,2025-04-20,Discussed cloud migration roadmap,Call,Follow-up required
C001,INT002,2025-04-25,Sent proposal for migration,Email,Awaiting response
C002,INT003,2025-04-18,Security audit findings shared,Call,Demo scheduled
C002,INT004,2025-04-21,Demo completed,Meeting,Follow-up required
C003,INT005,2025-04-22,Shared healthcare analytics case study,Email,Awaiting response
C004,INT006,2025-04-19,Discussed financial automation,Call,Closed won
C005,INT007,2025-04-23,Sent supply chain optimization whitepaper,Email,Awaiting response
C006,INT008,2025-04-20,Intro call for edtech integration,Call,Follow-up required
C007,INT009,2025-04-21,Demo of fleet management solution,Demo,Awaiting response
C008,INT010,2025-04-24,Discussed energy efficiency project,Call,Follow-up required
C009,INT011,2025-04-26,Shared omnichannel retail strategy,Email,Awaiting response
C010,INT012,2025-04-25,5G rollout planning call,Call,Follow-up required
C011,INT013,2025-04-22,Cloud security concerns discussed,Call,Awaiting response
C012,INT014,2025-04-23,Incident response proposal sent,Email,Demo scheduled
C013,INT015,2025-04-21,Patient engagement platform demo,Demo,Awaiting response
C014,INT016,2025-04-24,Regulatory compliance call,Call,Follow-up required
C015,INT017,2025-04-23,Process automation pitch,Email,Awaiting response
C016,INT018,2025-04-22,Digital curriculum discussion,Call,Follow-up required
C017,INT019,2025-04-20,Warehouse robotics demo,Demo,Awaiting response
C018,INT020,2025-04-25,Smart grid proposal sent,Email,Awaiting response
C019,INT021,2025-04-22,Customer loyalty program call,Call,Follow-up required
C020,INT022,2025-04-21,Network optimization call,Call,Awaiting response
C021,INT023,2025-04-24,Multi-cloud strategy discussion,Call,Follow-up required
C022,INT024,2025-04-25,Threat intelligence report shared,Email,Awaiting response
C023,INT025,2025-04-23,Telemedicine platform demo,Demo,Follow-up required
C024,INT026,2025-04-24,Blockchain adoption call,Call,Awaiting response
C025,INT027,2025-04-25,Factory IoT solution proposal,Email,Follow-up required
C026,INT028,2025-04-22,Student analytics call,Call,Awaiting response
C027,INT029,2025-04-21,Route optimization demo,Demo,Follow-up required
